ky_tu,so_anh_chua,ty_le_anh,tong_so_lan_xuat_hien,ty_le_tan_suat
勘,127,0.3314%,131,0.0285%
奴,128,0.3340%,131,0.0285%
朔,131,0.3419%,131,0.0285%
選,127,0.3314%,131,0.0285%
他,130,0.3393%,130,0.0283%
勇,130,0.3393%,130,0.0283%
庸,121,0.3158%,130,0.0283%
律,126,0.3288%,130,0.0283%
羅,124,0.3236%,130,0.0283%
午,128,0.3340%,129,0.0281%
怒,128,0.3340%,129,0.0281%
癸,129,0.3367%,129,0.0281%
築,127,0.3314%,129,0.0281%
俱,127,0.3314%,128,0.0279%
徵,121,0.3158%,128,0.0279%
念,127,0.3314%,128,0.0279%
惡,124,0.3236%,128,0.0279%
没,122,0.3184%,128,0.0279%
康,126,0.3288%,127,0.0276%
救,124,0.3236%,127,0.0276%
繼,126,0.3288%,127,0.0276%
聀,120,0.3132%,127,0.0276%
陛,119,0.3106%,127,0.0276%
陞,119,0.3106%,127,0.0276%
寕,125,0.3262%,126,0.0274%
果,126,0.3288%,126,0.0274%
橋,117,0.3053%,126,0.0274%
𠁀,115,0.3001%,126,0.0274%
刼,122,0.3184%,125,0.0272%
召,124,0.3236%,125,0.0272%
氣,122,0.3184%,125,0.0272%
産,125,0.3262%,125,0.0272%
養,121,0.3158%,125,0.0272%
𬂙,125,0.3262%,125,0.0272%
䜹,122,0.3184%,124,0.0270%
盗,119,0.3106%,124,0.0270%
著,115,0.3001%,124,0.0270%
衝,124,0.3236%,124,0.0270%
辛,124,0.3236%,124,0.0270%
體,123,0.3210%,124,0.0270%
執,122,0.3184%,123,0.0268%
恐,123,0.3210%,123,0.0268%
潘,122,0.3184%,123,0.0268%
習,121,0.3158%,123,0.0268%
語,121,0.3158%,123,0.0268%
边,111,0.2897%,123,0.0268%
音,119,0.3106%,123,0.0268%
兄,120,0.3132%,122,0.0265%
利,117,0.3053%,122,0.0265%
勞,121,0.3158%,122,0.0265%
雷,119,0.3106%,122,0.0265%
䏾,120,0.3132%,121,0.0263%
印,114,0.2975%,121,0.0263%
掠,120,0.3132%,121,0.0263%
震,116,0.3027%,121,0.0263%
丙,119,0.3106%,120,0.0261%
勸,120,0.3132%,120,0.0261%
添,116,0.3027%,120,0.0261%
祭,114,0.2975%,120,0.0261%
税,112,0.2923%,120,0.0261%
細,120,0.3132%,120,0.0261%
負,117,0.3053%,120,0.0261%
賫,120,0.3132%,120,0.0261%
卯,119,0.3106%,119,0.0259%
桃,117,0.3053%,119,0.0259%
翁,111,0.2897%,119,0.0259%
藝,111,0.2897%,119,0.0259%
預,119,0.3106%,119,0.0259%
動,118,0.3079%,118,0.0257%
對,114,0.2975%,118,0.0257%
旱,115,0.3001%,118,0.0257%
沙,116,0.3027%,118,0.0257%
目,117,0.3053%,118,0.0257%
缺,118,0.3079%,118,0.0257%
𨑮,113,0.2949%,118,0.0257%
塟,113,0.2949%,117,0.0255%
工,114,0.2975%,117,0.0255%
廉,117,0.3053%,117,0.0255%
延,115,0.3001%,117,0.0255%
策,114,0.2975%,117,0.0255%
財,114,0.2975%,117,0.0255%
凡,116,0.3027%,116,0.0252%
密,110,0.2871%,116,0.0252%
瑞,114,0.2975%,116,0.0252%
省,114,0.2975%,116,0.0252%
輕,115,0.3001%,116,0.0252%
手,113,0.2949%,115,0.0250%
蒼,110,0.2871%,115,0.0250%
農,112,0.2923%,115,0.0250%
𢧚,109,0.2845%,115,0.0250%
𧵆,112,0.2923%,115,0.0250%
亥,112,0.2923%,114,0.0248%
僧,107,0.2792%,114,0.0248%
岸,112,0.2923%,114,0.0248%
脱,108,0.2819%,114,0.0248%
迻,113,0.2949%,114,0.0248%
駕,113,0.2949%,114,0.0248%
𩄲,114,0.2975%,114,0.0248%
䦕,108,0.2819%,113,0.0246%
唉,113,0.2949%,113,0.0246%
寬,111,0.2897%,113,0.0246%
扶,111,0.2897%,113,0.0246%
符,110,0.2871%,113,0.0246%
達,113,0.2949%,113,0.0246%
𠀧,112,0.2923%,113,0.0246%
𨀈,103,0.2688%,113,0.0246%
便,110,0.2871%,112,0.0244%
啓,107,0.2792%,112,0.0244%
干,103,0.2688%,112,0.0244%
撑,104,0.2714%,112,0.0244%
盛,110,0.2871%,112,0.0244%
禄,110,0.2871%,112,0.0244%
簿,106,0.2766%,112,0.0244%
隻,111,0.2897%,112,0.0244%
按,109,0.2845%,111,0.0242%
曆,109,0.2845%,111,0.0242%
湄,111,0.2897%,111,0.0242%
邑,108,0.2819%,111,0.0242%
丑,110,0.2871%,110,0.0239%
併,107,0.2792%,110,0.0239%
耳,110,0.2871%,110,0.0239%
遺,109,0.2845%,110,0.0239%
𨕭,107,0.2792%,110,0.0239%
󰀋,108,0.2819%,110,0.0239%
庒,109,0.2845%,109,0.0237%
要,109,0.2845%,109,0.0237%
訓,105,0.2740%,109,0.0237%
附,108,0.2819%,109,0.0237%
頒,109,0.2845%,109,0.0237%
駐,108,0.2819%,109,0.0237%
勤,105,0.2740%,108,0.0235%
川,107,0.2792%,108,0.0235%
戒,107,0.2792%,108,0.0235%
柳,107,0.2792%,108,0.0235%
泊,102,0.2662%,108,0.0235%
防,108,0.2819%,108,0.0235%
儒,105,0.2740%,107,0.0233%
寃,107,0.2792%,107,0.0233%
詳,107,0.2792%,107,0.0233%
贈,107,0.2792%,107,0.0233%
類,107,0.2792%,107,0.0233%
﨤,107,0.2792%,107,0.0233%
𡽫,107,0.2792%,107,0.0233%
󰒂,105,0.2740%,107,0.0233%
休,106,0.2766%,106,0.0231%
候,102,0.2662%,106,0.0231%
圍,105,0.2740%,106,0.0231%
帥,104,0.2714%,106,0.0231%
彦,99,0.2584%,106,0.0231%
讀,104,0.2714%,106,0.0231%
境,103,0.2688%,105,0.0228%
局,100,0.2610%,105,0.0228%
托,104,0.2714%,105,0.0228%
榮,102,0.2662%,105,0.0228%
歇,100,0.2610%,105,0.0228%
疑,105,0.2740%,105,0.0228%
維,99,0.2584%,105,0.0228%
載,101,0.2636%,105,0.0228%
迯,102,0.2662%,105,0.0228%
題,90,0.2349%,105,0.0228%
顯,102,0.2662%,105,0.0228%
魚,102,0.2662%,105,0.0228%
㓂,102,0.2662%,104,0.0226%
准,103,0.2688%,104,0.0226%
卷,103,0.2688%,104,0.0226%
寳,103,0.2688%,104,0.0226%
急,102,0.2662%,104,0.0226%
舘,101,0.2636%,104,0.0226%
閉,103,0.2688%,104,0.0226%
𢆥,99,0.2584%,104,0.0226%
客,103,0.2688%,103,0.0224%
審,99,0.2584%,103,0.0224%
條,99,0.2584%,103,0.0224%
病,102,0.2662%,103,0.0224%
近,103,0.2688%,103,0.0224%
𤾓,103,0.2688%,103,0.0224%
乾,101,0.2636%,102,0.0222%
冠,101,0.2636%,102,0.0222%
虜,99,0.2584%,102,0.0222%
趙,97,0.2531%,102,0.0222%
蹺,102,0.2662%,102,0.0222%
儀,99,0.2584%,101,0.0220%
兒,101,0.2636%,101,0.0220%
巳,101,0.2636%,101,0.0220%
拒,100,0.2610%,101,0.0220%
示,100,0.2610%,101,0.0220%
罷,99,0.2584%,101,0.0220%
邉,96,0.2505%,101,0.0220%
依,100,0.2610%,100,0.0218%
僞,95,0.2479%,100,0.0218%
妃,93,0.2427%,100,0.0218%
庭,95,0.2479%,100,0.0218%
惜,95,0.2479%,100,0.0218%
扵,100,0.2610%,100,0.0218%
持,98,0.2558%,100,0.0218%
苦,96,0.2505%,100,0.0218%
𥪞,100,0.2610%,100,0.0218%
󰊄,100,0.2610%,100,0.0218%
庶,97,0.2531%,99,0.0215%
虎,97,0.2531%,99,0.0215%
隆,99,0.2584%,99,0.0215%
叛,98,0.2558%,98,0.0213%
梗,95,0.2479%,98,0.0213%
箕,98,0.2558%,98,0.0213%
縱,98,0.2558%,98,0.0213%
避,97,0.2531%,98,0.0213%
夷,96,0.2505%,97,0.0211%
感,96,0.2505%,97,0.0211%
結,95,0.2479%,97,0.0211%
里,96,0.2505%,97,0.0211%
默,96,0.2505%,97,0.0211%
䘮,91,0.2375%,96,0.0209%
妾,94,0.2453%,96,0.0209%
婦,93,0.2427%,96,0.0209%
綏,93,0.2427%,96,0.0209%
綱,93,0.2427%,96,0.0209%
落,95,0.2479%,96,0.0209%
詞,95,0.2479%,96,0.0209%
兜,91,0.2375%,95,0.0207%
勳,94,0.2453%,95,0.0207%
坐,94,0.2453%,95,0.0207%
坦,95,0.2479%,95,0.0207%
姅,70,0.1827%,95,0.0207%
效,95,0.2479%,95,0.0207%
極,95,0.2479%,95,0.0207%
濟,93,0.2427%,95,0.0207%
祥,95,0.2479%,95,0.0207%
靖,95,0.2479%,95,0.0207%
㤕,93,0.2427%,94,0.0205%
唭,91,0.2375%,94,0.0205%
奪,94,0.2453%,94,0.0205%
接,93,0.2427%,94,0.0205%
歳,93,0.2427%,94,0.0205%
潜,93,0.2427%,94,0.0205%
秩,91,0.2375%,94,0.0205%
蠻,88,0.2297%,94,0.0205%
邊,92,0.2401%,94,0.0205%
頼,91,0.2375%,94,0.0205%
佐,92,0.2401%,93,0.0202%
僉,93,0.2427%,93,0.0202%
奸,92,0.2401%,93,0.0202%
愁,92,0.2401%,93,0.0202%
曾,90,0.2349%,93,0.0202%
程,89,0.2323%,93,0.0202%
草,90,0.2349%,93,0.0202%
賛,93,0.2427%,93,0.0202%
遁,93,0.2427%,93,0.0202%
點,91,0.2375%,93,0.0202%
佛,89,0.2323%,92,0.0200%
供,92,0.2401%,92,0.0200%
敵,90,0.2349%,92,0.0200%
施,92,0.2401%,92,0.0200%
殘,92,0.2401%,92,0.0200%
泰,90,0.2349%,92,0.0200%
燕,91,0.2375%,92,0.0200%
碑,88,0.2297%,92,0.0200%
苔,92,0.2401%,92,0.0200%
茶,87,0.2270%,92,0.0200%
護,90,0.2349%,92,0.0200%
酒,92,0.2401%,92,0.0200%
險,88,0.2297%,92,0.0200%
𡥵,85,0.2218%,92,0.0200%
㫖,90,0.2349%,91,0.0198%
几,91,0.2375%,91,0.0198%
存,87,0.2270%,91,0.0198%
蘇,89,0.2323%,91,0.0198%
裕,85,0.2218%,91,0.0198%
󰠳,85,0.2218%,91,0.0198%
堆,87,0.2270%,90,0.0196%
投,88,0.2297%,90,0.0196%
推,90,0.2349%,90,0.0196%
暴,90,0.2349%,90,0.0196%
稷,86,0.2244%,90,0.0196%
竹,89,0.2323%,90,0.0196%
詣,90,0.2349%,90,0.0196%
轉,86,0.2244%,90,0.0196%
齊,85,0.2218%,90,0.0196%
𦰟,90,0.2349%,90,0.0196%
󰞺,90,0.2349%,90,0.0196%
坤,89,0.2323%,89,0.0194%
宰,88,0.2297%,89,0.0194%
寨,83,0.2166%,89,0.0194%
湥,80,0.2088%,89,0.0194%
番,81,0.2114%,89,0.0194%
童,88,0.2297%,89,0.0194%
編,87,0.2270%,89,0.0194%
豪,88,0.2297%,89,0.0194%
違,87,0.2270%,89,0.0194%
廢,88,0.2297%,88,0.0191%
徽,85,0.2218%,88,0.0191%
某,73,0.1905%,88,0.0191%
池,80,0.2088%,88,0.0191%
赴,86,0.2244%,88,0.0191%
𠦳,88,0.2297%,88,0.0191%
付,86,0.2244%,87,0.0189%
伐,85,0.2218%,87,0.0189%
劉,85,0.2218%,87,0.0189%
委,87,0.2270%,87,0.0189%
往,87,0.2270%,87,0.0189%
援,86,0.2244%,87,0.0189%
渡,86,0.2244%,87,0.0189%
諫,84,0.2192%,87,0.0189%
𣇞,86,0.2244%,87,0.0189%
𥹰,87,0.2270%,87,0.0189%
𨔍,85,0.2218%,87,0.0189%
到,85,0.2218%,86,0.0187%
專,82,0.2140%,86,0.0187%
状,86,0.2244%,86,0.0187%
級,85,0.2218%,86,0.0187%
誓,86,0.2244%,86,0.0187%
關,83,0.2166%,86,0.0187%
驚,85,0.2218%,86,0.0187%
咸,85,0.2218%,85,0.0185%
妄,81,0.2114%,85,0.0185%
妬,85,0.2218%,85,0.0185%
射,80,0.2088%,85,0.0185%
曲,85,0.2218%,85,0.0185%
牛,81,0.2114%,85,0.0185%
聚,85,0.2218%,85,0.0185%
但,81,0.2114%,84,0.0183%
俗,82,0.2140%,84,0.0183%
俸,81,0.2114%,84,0.0183%
刀,81,0.2114%,84,0.0183%
壮,84,0.2192%,84,0.0183%
夢,81,0.2114%,84,0.0183%
市,83,0.2166%,84,0.0183%
棄,83,0.2166%,84,0.0183%
榜,83,0.2166%,84,0.0183%
澤,82,0.2140%,84,0.0183%
琴,83,0.2166%,84,0.0183%
禍,83,0.2166%,84,0.0183%
虚,83,0.2166%,84,0.0183%
謙,77,0.2009%,84,0.0183%
󰘊,82,0.2140%,84,0.0183%
假,83,0.2166%,83,0.0181%
偽,76,0.1983%,83,0.0181%
它,82,0.2140%,83,0.0181%
宴,82,0.2140%,83,0.0181%
弹,83,0.2166%,83,0.0181%
揚,82,0.2140%,83,0.0181%
柴,83,0.2166%,83,0.0181%
澄,79,0.2062%,83,0.0181%
秀,81,0.2114%,83,0.0181%
絶,83,0.2166%,83,0.0181%
房,81,0.2114%,82,0.0178%
打,81,0.2114%,82,0.0178%
機,81,0.2114%,82,0.0178%
牟,81,0.2114%,82,0.0178%
粮,80,0.2088%,82,0.0178%
羙,81,0.2114%,82,0.0178%
耶,78,0.2036%,82,0.0178%
責,82,0.2140%,82,0.0178%
錫,81,0.2114%,82,0.0178%
閲,80,0.2088%,82,0.0178%
乱,80,0.2088%,81,0.0176%
呼,81,0.2114%,81,0.0176%
爱,78,0.2036%,81,0.0176%
祿,78,0.2036%,81,0.0176%
賣,80,0.2088%,81,0.0176%
銅,80,0.2088%,81,0.0176%
󰠃,80,0.2088%,81,0.0176%
係,80,0.2088%,80,0.0174%
僣,78,0.2036%,80,0.0174%
坊,78,0.2036%,80,0.0174%
壘,77,0.2009%,80,0.0174%
幾,80,0.2088%,80,0.0174%
淳,80,0.2088%,80,0.0174%
照,79,0.2062%,80,0.0174%
俘,79,0.2062%,79,0.0172%
切,77,0.2009%,79,0.0172%
嘆,79,0.2062%,79,0.0172%
圭,76,0.1983%,79,0.0172%
悲,78,0.2036%,79,0.0172%
放,77,0.2009%,79,0.0172%
格,78,0.2036%,79,0.0172%
解,79,0.2062%,79,0.0172%
豊,78,0.2036%,79,0.0172%
𠰺,77,0.2009%,79,0.0172%
𦊚,79,0.2062%,79,0.0172%
勿,73,0.1905%,78,0.0170%
叔,73,0.1905%,78,0.0170%
性,78,0.2036%,78,0.0170%
昔,78,0.2036%,78,0.0170%
楼,75,0.1957%,78,0.0170%
熙,78,0.2036%,78,0.0170%
獨,77,0.2009%,78,0.0170%
襲,78,0.2036%,78,0.0170%
遵,78,0.2036%,78,0.0170%
量,78,0.2036%,78,0.0170%
陸,77,0.2009%,78,0.0170%
霜,78,0.2036%,78,0.0170%
𢖵,75,0.1957%,78,0.0170%
𤴬,78,0.2036%,78,0.0170%
𦀊,76,0.1983%,78,0.0170%
禦,76,0.1983%,77,0.0168%
貪,77,0.2009%,77,0.0168%
󰝡,73,0.1905%,77,0.0168%
傑,76,0.1983%,76,0.0165%
娥,76,0.1983%,76,0.0165%
潰,76,0.1983%,76,0.0165%
睿,75,0.1957%,76,0.0165%
祠,71,0.1853%,76,0.0165%
簡,72,0.1879%,76,0.0165%
藏,71,0.1853%,76,0.0165%
貫,75,0.1957%,76,0.0165%
遷,76,0.1983%,76,0.0165%
󰅒,76,0.1983%,76,0.0165%
昇,75,0.1957%,75,0.0163%
歷,73,0.1905%,75,0.0163%
溪,74,0.1931%,75,0.0163%
滝,75,0.1957%,75,0.0163%
祈,72,0.1879%,75,0.0163%
靣,73,0.1905%,75,0.0163%
𮗓,73,0.1905%,75,0.0163%
博,73,0.1905%,74,0.0161%
嫁,73,0.1905%,74,0.0161%
屈,74,0.1931%,74,0.0161%
據,73,0.1905%,74,0.0161%
甘,73,0.1905%,74,0.0161%
秦,73,0.1905%,74,0.0161%
累,74,0.1931%,74,0.0161%
𡦂,62,0.1618%,74,0.0161%
𦤶,73,0.1905%,74,0.0161%
𨱽,74,0.1931%,74,0.0161%
伍,70,0.1827%,73,0.0159%
帳,73,0.1905%,73,0.0159%
弑,71,0.1853%,73,0.0159%
捷,69,0.1801%,73,0.0159%
昂,69,0.1801%,73,0.0159%
暠,63,0.1644%,73,0.0159%
貟,71,0.1853%,73,0.0159%
賀,72,0.1879%,73,0.0159%
蹎,73,0.1905%,73,0.0159%
辝,70,0.1827%,73,0.0159%
逐,73,0.1905%,73,0.0159%
埋,72,0.1879%,72,0.0157%
塵,66,0.1722%,72,0.0157%
慎,72,0.1879%,72,0.0157%
扒,65,0.1696%,72,0.0157%
柄,67,0.1749%,72,0.0157%
説,69,0.1801%,72,0.0157%
𠳐,72,0.1879%,72,0.0157%
𠸜,71,0.1853%,72,0.0157%
󰜏,69,0.1801%,72,0.0157%
填,71,0.1853%,71,0.0154%
斷,71,0.1853%,71,0.0154%
班,66,0.1722%,71,0.0154%
皷,69,0.1801%,71,0.0154%
誕,70,0.1827%,71,0.0154%
識,70,0.1827%,71,0.0154%
變,70,0.1827%,71,0.0154%
𣳔,70,0.1827%,71,0.0154%
𥢆,57,0.1488%,71,0.0154%
予,65,0.1696%,70,0.0152%
吹,70,0.1827%,70,0.0152%
忍,69,0.1801%,70,0.0152%
懷,70,0.1827%,70,0.0152%
蓮,70,0.1827%,70,0.0152%
諧,66,0.1722%,70,0.0152%
謁,70,0.1827%,70,0.0152%
貶,69,0.1801%,70,0.0152%
逴,70,0.1827%,70,0.0152%
郭,70,0.1827%,70,0.0152%
𠁑,70,0.1827%,70,0.0152%
󰱐,68,0.1775%,70,0.0152%
基,68,0.1775%,69,0.0150%
𡑝,69,0.1801%,69,0.0150%
丕,65,0.1696%,68,0.0148%
刻,68,0.1775%,68,0.0148%
哭,64,0.1670%,68,0.0148%
媒,68,0.1775%,68,0.0148%
孤,68,0.1775%,68,0.0148%
寫,68,0.1775%,68,0.0148%
弊,68,0.1775%,68,0.0148%
淶,68,0.1775%,68,0.0148%
滛,66,0.1722%,68,0.0148%
瓊,68,0.1775%,68,0.0148%
覩,65,0.1696%,68,0.0148%
讓,67,0.1749%,68,0.0148%
賦,65,0.1696%,68,0.0148%
鉄,64,0.1670%,68,0.0148%
𠓀,68,0.1775%,68,0.0148%
𤑟,68,0.1775%,68,0.0148%
𥒥,68,0.1775%,68,0.0148%
㛪,62,0.1618%,67,0.0146%
寇,66,0.1722%,67,0.0146%
巾,58,0.1514%,67,0.0146%
形,65,0.1696%,67,0.0146%
怨,63,0.1644%,67,0.0146%
振,67,0.1749%,67,0.0146%
擇,67,0.1749%,67,0.0146%
榖,66,0.1722%,67,0.0146%
種,65,0.1696%,67,0.0146%
筵,67,0.1749%,67,0.0146%
黃,64,0.1670%,67,0.0146%
𣦍,67,0.1749%,67,0.0146%
󰠐,60,0.1566%,67,0.0146%
兹,65,0.1696%,66,0.0144%
尽,62,0.1618%,66,0.0144%
慮,64,0.1670%,66,0.0144%
数,63,0.1644%,66,0.0144%
演,63,0.1644%,66,0.0144%
茄,66,0.1722%,66,0.0144%
課,65,0.1696%,66,0.0144%
貨,66,0.1722%,66,0.0144%
辨,64,0.1670%,66,0.0144%
逼,66,0.1722%,66,0.0144%
遭,65,0.1696%,66,0.0144%
陀,65,0.1696%,66,0.0144%
馭,62,0.1618%,66,0.0144%
𢜠,61,0.1592%,66,0.0144%
𣷭,66,0.1722%,66,0.0144%
𦹵,66,0.1722%,66,0.0144%
󰀎,65,0.1696%,66,0.0144%
俊,63,0.1644%,65,0.0141%
傍,65,0.1696%,65,0.0141%
村,64,0.1670%,65,0.0141%
濫,65,0.1696%,65,0.0141%
礼,62,0.1618%,65,0.0141%
闕,65,0.1696%,65,0.0141%
𢙇,64,0.1670%,65,0.0141%
𥪝,63,0.1644%,65,0.0141%
况,64,0.1670%,64,0.0139%
助,64,0.1670%,64,0.0139%
嗔,64,0.1670%,64,0.0139%
囚,61,0.1592%,64,0.0139%
庫,60,0.1566%,64,0.0139%
整,64,0.1670%,64,0.0139%
断,63,0.1644%,64,0.0139%
旬,62,0.1618%,64,0.0139%
比,63,0.1644%,64,0.0139%
藩,63,0.1644%,64,0.0139%
講,63,0.1644%,64,0.0139%
離,62,0.1618%,64,0.0139%
項,63,0.1644%,64,0.0139%
顧,63,0.1644%,64,0.0139%
尔,51,0.1331%,63,0.0137%
弼,59,0.1540%,63,0.0137%
押,60,0.1566%,63,0.0137%
束,63,0.1644%,63,0.0137%
沉,63,0.1644%,63,0.0137%
洽,62,0.1618%,63,0.0137%
燒,58,0.1514%,63,0.0137%
發,61,0.1592%,63,0.0137%
矯,63,0.1644%,63,0.0137%
祀,62,0.1618%,63,0.0137%
約,63,0.1644%,63,0.0137%
素,61,0.1592%,63,0.0137%
趾,62,0.1618%,63,0.0137%
𡎢,62,0.1618%,63,0.0137%
𬋩,62,0.1618%,63,0.0137%
僕,61,0.1592%,62,0.0135%
咱,61,0.1592%,62,0.0135%
商,62,0.1618%,62,0.0135%
幼,62,0.1618%,62,0.0135%
徇,61,0.1592%,62,0.0135%
悅,60,0.1566%,62,0.0135%
患,62,0.1618%,62,0.0135%
晦,61,0.1592%,62,0.0135%
楚,62,0.1618%,62,0.0135%
横,59,0.1540%,62,0.0135%
满,59,0.1540%,62,0.0135%
界,62,0.1618%,62,0.0135%
突,61,0.1592%,62,0.0135%
耕,60,0.1566%,62,0.0135%
阻,62,0.1618%,62,0.0135%
骨,61,0.1592%,62,0.0135%
𢴑,62,0.1618%,62,0.0135%
󰡏,59,0.1540%,62,0.0135%
󱋓,56,0.1461%,62,0.0135%
劾,60,0.1566%,61,0.0133%
式,57,0.1488%,61,0.0133%
慰,60,0.1566%,61,0.0133%
根,60,0.1566%,61,0.0133%
桂,58,0.1514%,61,0.0133%
虐,61,0.1592%,61,0.0133%
鈌,60,0.1566%,61,0.0133%
向,59,0.1540%,60,0.0131%
咹,59,0.1540%,60,0.0131%
姐,60,0.1566%,60,0.0131%
宇,57,0.1488%,60,0.0131%
宮,60,0.1566%,60,0.0131%
宿,57,0.1488%,60,0.0131%
寔,60,0.1566%,60,0.0131%
擾,59,0.1540%,60,0.0131%
核,60,0.1566%,60,0.0131%
灾,59,0.1540%,60,0.0131%
烈,58,0.1514%,60,0.0131%
烏,60,0.1566%,60,0.0131%
篤,60,0.1566%,60,0.0131%
美,59,0.1540%,60,0.0131%
肆,60,0.1566%,60,0.0131%
茂,58,0.1514%,60,0.0131%
萌,57,0.1488%,60,0.0131%
薨,59,0.1540%,60,0.0131%
蘭,58,0.1514%,60,0.0131%
陰,59,0.1540%,60,0.0131%
𠲖,57,0.1488%,60,0.0131%
𨅸,60,0.1566%,60,0.0131%
𫅷,57,0.1488%,60,0.0131%
倦,54,0.1409%,59,0.0128%
堅,58,0.1514%,59,0.0128%
悶,56,0.1461%,59,0.0128%
湖,56,0.1461%,59,0.0128%
潭,55,0.1435%,59,0.0128%
祚,57,0.1488%,59,0.0128%
米,54,0.1409%,59,0.0128%
蓬,56,0.1461%,59,0.0128%
野,59,0.1540%,59,0.0128%
𠊚,56,0.1461%,59,0.0128%
𨖲,59,0.1540%,59,0.0128%
𫢩,59,0.1540%,59,0.0128%
傾,58,0.1514%,58,0.0126%
冷,54,0.1409%,58,0.0126%
厥,56,0.1461%,58,0.0126%
吒,58,0.1514%,58,0.0126%
域,56,0.1461%,58,0.0126%
店,55,0.1435%,58,0.0126%
械,58,0.1514%,58,0.0126%
浮,56,0.1461%,58,0.0126%
爭,57,0.1488%,58,0.0126%
盃,56,0.1461%,58,0.0126%
筭,58,0.1514%,58,0.0126%
翊,57,0.1488%,58,0.0126%
荒,58,0.1514%,58,0.0126%
蛮,54,0.1409%,58,0.0126%
觥,58,0.1514%,58,0.0126%
遊,57,0.1488%,58,0.0126%
鍾,54,0.1409%,58,0.0126%
𫳘,49,0.1279%,58,0.0126%
僊,57,0.1488%,57,0.0124%
升,55,0.1435%,57,0.0124%
却,57,0.1488%,57,0.0124%
塊,57,0.1488%,57,0.0124%
尺,51,0.1331%,57,0.0124%
岳,57,0.1488%,57,0.0124%
弱,57,0.1488%,57,0.0124%
抑,54,0.1409%,57,0.0124%
折,57,0.1488%,57,0.0124%
擬,54,0.1409%,57,0.0124%
族,55,0.1435%,57,0.0124%
晋,55,0.1435%,57,0.0124%
杖,57,0.1488%,57,0.0124%
椿,57,0.1488%,57,0.0124%
欣,56,0.1461%,57,0.0124%
溺,57,0.1488%,57,0.0124%
焚,56,0.1461%,57,0.0124%
畫,48,0.1253%,57,0.0124%
質,57,0.1488%,57,0.0124%
飲,53,0.1383%,57,0.0124%
騎,55,0.1435%,57,0.0124%
𠃅,57,0.1488%,57,0.0124%
𥘉,57,0.1488%,57,0.0124%
吕,54,0.1409%,56,0.0122%
園,56,0.1461%,56,0.0122%
墻,56,0.1461%,56,0.0122%
惧,56,0.1461%,56,0.0122%
段,55,0.1435%,56,0.0122%
津,54,0.1409%,56,0.0122%
湯,53,0.1383%,56,0.0122%
禾,56,0.1461%,56,0.0122%
籃,53,0.1383%,56,0.0122%
蒲,56,0.1461%,56,0.0122%
觧,56,0.1461%,56,0.0122%
謚,55,0.1435%,56,0.0122%
賂,54,0.1409%,56,0.0122%
辭,52,0.1357%,56,0.0122%
鴻,56,0.1461%,56,0.0122%
𠖤,56,0.1461%,56,0.0122%
𡗉,55,0.1435%,56,0.0122%
䋦,55,0.1435%,55,0.0120%
勾,55,0.1435%,55,0.0120%
匕,50,0.1305%,55,0.0120%
呈,54,0.1409%,55,0.0120%
堪,53,0.1383%,55,0.0120%
帶,55,0.1435%,55,0.0120%
息,55,0.1435%,55,0.0120%
愈,53,0.1383%,55,0.0120%
戚,55,0.1435%,55,0.0120%
拯,51,0.1331%,55,0.0120%
查,55,0.1435%,55,0.0120%
波,55,0.1435%,55,0.0120%
滅,55,0.1435%,55,0.0120%
灵,55,0.1435%,55,0.0120%
祗,52,0.1357%,55,0.0120%
綠,55,0.1435%,55,0.0120%
聘,55,0.1435%,55,0.0120%
艘,55,0.1435%,55,0.0120%
術,55,0.1435%,55,0.0120%
隂,55,0.1435%,55,0.0120%
𦎛,55,0.1435%,55,0.0120%
𬌓,55,0.1435%,55,0.0120%
亨,53,0.1383%,54,0.0118%
仲,54,0.1409%,54,0.0118%
像,52,0.1357%,54,0.0118%
儲,50,0.1305%,54,0.0118%
变,53,0.1383%,54,0.0118%
吿,54,0.1409%,54,0.0118%
幅,54,0.1409%,54,0.0118%
弗,53,0.1383%,54,0.0118%
恪,54,0.1409%,54,0.0118%
眉,54,0.1409%,54,0.0118%
窮,51,0.1331%,54,0.0118%
肅,51,0.1331%,54,0.0118%
醒,54,0.1409%,54,0.0118%
鋒,54,0.1409%,54,0.0118%
顔,54,0.1409%,54,0.0118%
飭,54,0.1409%,54,0.0118%
𡧸,53,0.1383%,54,0.0118%
𥛉,52,0.1357%,54,0.0118%
󰆑,51,0.1331%,54,0.0118%
󰇾,51,0.1331%,54,0.0118%
丞,52,0.1357%,53,0.0115%
争,53,0.1383%,53,0.0115%
優,51,0.1331%,53,0.0115%
剛,52,0.1357%,53,0.0115%
婢,52,0.1357%,53,0.0115%
峻,49,0.1279%,53,0.0115%
戴,48,0.1253%,53,0.0115%
支,52,0.1357%,53,0.0115%
旅,49,0.1279%,53,0.0115%
曉,52,0.1357%,53,0.0115%
潙,50,0.1305%,53,0.0115%
熟,52,0.1357%,53,0.0115%
畏,53,0.1383%,53,0.0115%
畑,53,0.1383%,53,0.0115%
迷,53,0.1383%,53,0.0115%
銓,51,0.1331%,53,0.0115%
闭,53,0.1383%,53,0.0115%
陷,53,0.1383%,53,0.0115%
𥘀,53,0.1383%,53,0.0115%
𦖻,53,0.1383%,53,0.0115%
享,52,0.1357%,52,0.0113%
價,52,0.1357%,52,0.0113%
